FID,COUNTYNAME,COUNTYFIPS,COUNTYGNIS,NAME_UCASE,Shape_Leng,Shape_Area,LINKNAME,NAIP2012,NAIP2014,NAIP2016,DOQQ,TOPO,F24KDEM,MOIMG2015,NAIP2018,NAIP2020,NAIP2022,Shape__Area,Shape__Length
1,Clark,045,758477,CLARK,164046.409275,1325886666.59,Clark,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Clark_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Clark_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Clark_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Clark.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Clark.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Clark.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Clark.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Clark_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Clark_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Clark_NAIP_zip.zip,2290617275.83594,215593.032390918
2,Atchison,005,758457,ATCHISON,183521.887294,1424460766,Atchison,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Atchison_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Atchison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Atchison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Atchison.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Atchison.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Atchison.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Atchison.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Atchison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Atchison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Atchison_NAIP_zip.zip,2460562535.98047,241160.147778516
3,Scotland,199,758552,SCOTLAND,135147.428812,1136964678.13,Scotland,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Scotland_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Scotland_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Scotland_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Scotland.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Scotland.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Scotland.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Scotland.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Scotland_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Scotland_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Scotland_NAIP_zip.zip,1966988590.81641,177755.816913999
4,Schuyler,197,758551,SCHUYLER,156174.527161,797576866.273,Schuyler,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Schuyler_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Schuyler_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Schuyler_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Schuyler.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Schuyler.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Schuyler.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Schuyler.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Schuyler_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Schuyler_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Schuyler_NAIP_zip.zip,1380674262.375,205422.664267909
5,Nodaway,147,758528,NODAWAY,212569.206926,2273266151.14,Nodaway,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Nodaway_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Nodaway_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Nodaway_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Nodaway.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Nodaway.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Nodaway.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Nodaway.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Nodaway_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Nodaway_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Nodaway_NAIP_zip.zip,3920213446.44531,279075.850595278
6,Putnam,171,758540,PUTNAM,210409.59774,1343979805.81,Putnam,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Putnam_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Putnam_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Putnam_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Putnam.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Putnam.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Putnam.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Putnam.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Putnam_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Putnam_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Putnam_NAIP_zip.zip,2327224632.33984,276645.451363286
7,Worth,227,758566,WORTH,112108.539763,690902545.261,Worth,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Worth_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Worth_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Worth_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Worth.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Worth.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Worth.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Worth.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Worth_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Worth_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Worth_NAIP_zip.zip,1195944316.375,147422.113108129
8,Mercer,129,758519,MERCER,138797.634938,1177231359.42,Mercer,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Mercer_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Mercer_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Mercer_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Mercer.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Mercer.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Mercer.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Mercer.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Mercer_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Mercer_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Mercer_NAIP_zip.zip,2034976873.02734,182489.975294926
9,Harrison,081,758495,HARRISON,177341.492802,1880143699.51,Harrison,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Harrison_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Harrison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Harrison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Harrison.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Harrison.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Harrison.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Harrison.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Harrison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Harrison_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Harrison_NAIP_zip.zip,3243197508.92188,232970.69547004
10,Gentry,075,758492,GENTRY,143259.355415,1273646566.27,Gentry,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2012/MO_2012_Gentry_NAIP_shp.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2014/MO_2014_Gentry_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2016/MO_2016_Gentry_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/doqq/county/Gentry.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/drg/countymosaics_100k/Gentry.tar.gz,https://msdis-archive.missouri.edu/archive/Missouri_Elevation_Data/24kDEM/24k/Gentry.e00.gz,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/Statewide2015/Gentry.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2018/MO_2018_Gentry_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2020/MO_2020_Gentry_NAIP_zip.zip,https://msdis-archive.missouri.edu/archive/Missouri_Imagery/naip2022/MO_2022_Gentry_NAIP_zip.zip,2187427068.94922,187772.030196268
